Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Angiosperm,Schiedea,globosa,,0.8,"Kapralov et al., 2009 (Ref. 684)",2012
Angiosperm,Tabebuia,argentea,,0.8,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Solanum,vernei,2,0.8,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Cucumis,anguira,2,0.8,"Ramachandran and Narayan, 1985 (Ref. 127)",1991
Angiosperm,Cucumis,trigonus,2,0.8,"Ramachandran and Narayan, 1985 (Ref. 127)",1991
Angiosperm,Quercus,petraea,2,0.8,"Band, 1984 (Ref. 154)",1991
Angiosperm,Calystegia,sepium,2,0.8,"Band, 1984 (Ref. 154)",1991
Angiosperm,Arenaria,serpyllifolia,4,0.8,"Band, 1984 (Ref. 154)",1991
Angiosperm,Solanum,dulcamara,2,0.8,"Olszewska and Osiecka, 1983 (Ref. 156)",1991
Angiosperm,Melissa,officinalis,4,0.8,"Olszewska and Osiecka, 1983 (Ref. 156)",1991
Angiosperm,Laburnum,anagyroides,4,0.8,"Olszewska and Osiecka, 1984 (Ref. 157)",1991
Angiosperm,Plantago,ovata,4,0.8,"Badr et al., 1987 (Ref. 173)",1995
Angiosperm,Crossopteryx,febrifuga,2,0.8,"Kiehn, 1986 (Ref. 175)",1995
Angiosperm,Wrightia,coccinea,,0.8,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Larrea,divaricata,2,0.8,"Poggio et al., 1989 (Ref. 195)",1995
Angiosperm,Dicranostigma,franchetiana,2,0.8,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Psophocarpus,tetragonolobus,2,0.8,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Spiraea,wilsonii,,0.8,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Pontederia,cordata,2,0.8,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Anemopsis,californica,,0.8,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Ipomoea,pedatisecta,2,0.8,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Ipomoea,cordato-triloba,2,0.8,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Acacia,heterophylla,2,0.8,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Joannesia,princeps,2,0.8,"Ohri, 1996 (Ref. 301)",1997
Angiosperm,Acacia,implexa,2,0.8,"Bukhari, 1997 (Ref. 320)",2000
Angiosperm,Asimina,triloba,,0.8,"Morawetz and Samuel, 1998 (Ref. 341)",2000
Angiosperm,Cymbopetalum,bailonii,2,0.8,"Morawetz and Samuel, 1998 (Ref. 341)",2000
Angiosperm,Cyperus,iria,,0.8,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Cynodon,dactylon,,0.8,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Setaria,viridis,2,0.8,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Liriodendron,tulipifera,2,0.8,"Nagl et al., 1977 (Ref. 61)",1982
Angiosperm,Brassica,rapa,2,0.8,"Ingle et al., 1975 (Ref. 69)",1982
Algae,Acetabularia,dentata,,0.8,"Kapraun and Buratti, 1998 (Ref. 13)",2005
Algae,Polysiphonia,opaca,,0.8,"Kapraun, 1993 (Ref. 27)",2005
Angiosperm,Volutaria,canariensis,4,0.8,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Veronica,orchidea,4,0.8,"Albach & Greilhuber, 2003 (Ref. 478)",2011
Angiosperm,Dyckia,estevesii,,0.8,"Ebert & Till, 1997 (Ref. 575)",2011
Angiosperm,Chenopodium,strictum,4,0.8,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Penstemon,dolius,2,0.8,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,albidus,2,0.8,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,grahamii,2,0.8,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,ammophilus,2,0.8,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Pterospermum,lanceifolium,,0.8,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Lupinus,atlanticus,2,0.81,"Naganowska et al., 2003 (Ref. 520)",2011
Angiosperm,Crataegus,wilsonii,2,0.81,"Telent & Dickinson, 2005 (Ref. 527)",2011
Angiosperm,Globularia,meridionalis,,0.81,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Leonurus,cardiaca,,0.81,"Bainard et al., 2011 (Ref. 678)",2012
Angiosperm,Pinguicula,emarginata,,0.81,"Greilhuber et al., 2006 (Ref. 535)",2011
Bryophyte,Neckera,ehrenbergii,,0.81,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Buxus,sempervirens,,0.81,"Hanson et al., 2003 (Ref. 380)",2005a
Angiosperm,Salix,viminalis,4,0.81,"Thibault, 1998 (Ref. 385)",2005a
Angiosperm,Acacia,doratoxylon,,0.81,"Morgan & Westoby, 2005 (Ref. 526)",2011
Angiosperm,Acacia,wilhelmiana,,0.81,"Morgan & Westoby, 2005 (Ref. 526)",2011
Angiosperm,Cuscuta,polygonorum,,0.81,"McNeal et al., 2007 (Ref. 568)",2011
Angiosperm,Penstemon,wardii,2,0.81,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Malus,rockii,2,0.81,"Tatum et al., 2005 (Ref. 650)",2012
Angiosperm,Malus,soulardii,2,0.81,"Tatum et al., 2005 (Ref. 650)",2012
Angiosperm,Malus,'Golden Delicious',2,0.81,"Tatum et al., 2005 (Ref. 650)",2012
Angiosperm,Turnera,grandiflora,2,0.81,"Lopez et al., 2011 (Ref. 694)",2012
Bryophyte,Sphagnum,majus,,0.81,"Temsch et al., 1998 (Ref. 2)",1998
Angiosperm,Crataegus,chlorosarca,2,0.82,"Telent & Dickinson, 2005 (Ref. 527)",2011
Bryophyte,Chiloscyphys,pallescens,,0.82,"Temsch et al., 2010 (Ref. 4)",2010a
Bryophyte,Lophocolea,heterophylla (cytotype b),,0.82,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Malus,micromalus,2,0.82,"Korban et al., 2009 (Ref. 668)",2012
Angiosperm,Malus,trilobata,2,0.82,"Höfer and Meister, 2010 (Ref. 625)",2012
Angiosperm,Salix,atrocinerea,4,0.82,"Thibault, 1998 (Ref. 385)",2005a
Angiosperm,Cajanus,mollis,2,0.82,"Ohri and Singh, 2002 (Ref. 443)",2005a
Angiosperm,Penstemon,parvus,2,0.82,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,barbatus,2,0.82,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,strictus,2,0.82,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Minthostachys,spicata,2,0.82,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Cucumis,prophetarum,2,0.83,"Ramachandran and Narayan, 1985 (Ref. 127)",1991
Angiosperm,Anomatheca,viridis,2,0.83,"Goldblatt et al., 1984 (Ref. 137)",1991
Angiosperm,Plantago,cylindrica,2,0.83,"Badr et al., 1987 (Ref. 173)",1995
Angiosperm,Piper,ornatum,4,0.83,"Samuel et al., 1986 (Ref. 180)",1995
Angiosperm,Grevillea,robusta,2,0.83,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Larrea,nitida,2,0.83,"Poggio et al., 1989 (Ref. 195)",1995
Angiosperm,Rosa,multiflora,,0.83,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Manihot,esculenta,2,0.83,"Awoleye et al., 1994 (Ref. 286)",1997
Angiosperm,Coffea,canephora,2,0.83,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Coffea,bertrandii,2,0.83,"Cros et al., 1994 (Ref. 309)",2000
Angiosperm,Acacia,sophorae,2,0.83,"Bukhari, 1997 (Ref. 320)",2000
Angiosperm,Setaria,woodii,2,0.83,"Le et al., 1998 (Ref. 330)",2000
Angiosperm,Solanum,fernandezianum,2,0.83,"Valkonen JPT., 1994 (Ref. 337)",2000
Angiosperm,Carya,illinoensis,2,0.83,"Grauke et al., 1999 (Ref. 348)",2000
Angiosperm,Berberis,cabrerae,2,0.83,"Bottini et al., 1998 (Ref. 353)",2000
Angiosperm,Oryza,glaberrima,2,0.83,"Iyengar and Sen, 1978 (Ref. 95)",1982
Angiosperm,Salix,alba,4,0.83,"Thibault, 1998 (Ref. 385)",2005a
Algae,Palmaria,palmata,,0.83,"Kapraun, 2005 (Ref. 23)",2005
Algae,Ascophyllum,nodosum,,0.83,"Kapraun, 2005 (Ref. 23)",2005
Algae,Crouania,pleonospora,,0.83,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Crataegus,dahurica,2,0.83,"Telent & Dickinson, 2005 (Ref. 527)",2011
Angiosperm,Centaurea,graeca,,0.83,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Penstemon,ophianthus,2,0.83,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,secundiflorus,2,0.83,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Schiedea,membranacea,,0.83,"Kapralov et al., 2009 (Ref. 684)",2012
Angiosperm,Polylepis,pepei,2,0.83,"Schmidt-Lebuhn et al., 2010 (Ref. 620)",2012
Angiosperm,Polylepis,sericea,2,0.83,"Schmidt-Lebuhn et al., 2010 (Ref. 620)",2012
Angiosperm,Malus,florentina,2,0.83,"Höfer and Meister, 2010 (Ref. 625)",2012
Angiosperm,Eremochloa,ophiuroides,2,0.83,"Arumuganathan et al., 1999 (Ref. 417)",2005a
Angiosperm,Veronica,copelandii,2,0.83,"Albach & Greilhuber, 2003 (Ref. 478)",2011
Angiosperm,Veronica,cymbalaria,4,0.83,"Albach & Greilhuber, 2003 (Ref. 478)",2011
Angiosperm,Erysimum,cheiranthoides,,0.83,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Curcuma,vamana,2,0.83,"Leong-Skornickova et al., 2007 (Ref. 562)",2011
Angiosperm,Oxalis,pes-caprae,5,0.83,"Castro et al., 2007 (Ref. 590)",2011
Angiosperm,Penstemon,lentus,2,0.83,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Minthostachys,latifolia,,0.83,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Adina,cordifolia,2,0.83,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Cannabis,sativa,2,0.84,"Sakamoto et al., 1998 (Ref. 414)",2005a
Angiosperm,Quercus,pyrenaica,,0.84,"Horjales et al., 2003 (Ref. 489)",2011
Angiosperm,Lupinus,variicolor,,0.84,"Naganowska et al., 2006 (Ref. 524)",2011
Angiosperm,Crataegus,saligna,2,0.84,"Telent & Dickinson, 2005 (Ref. 527)",2011
Angiosperm,Centaurea,deusta,2,0.84,"Siljak-Yakovev et al., 2005 (Ref. 598)",2011
Angiosperm,Centaurea,alba,2,0.84,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Moltkia,petraea,2,0.84,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Penstemon,virens,2,0.84,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,triflorus,2,0.84,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Oxalis,phaeotricha,4,0.84,"Emshwiller et al., 2002 (Ref. 456)",2005a
Bryophyte,Barbilophozia,lycopodioides,,0.84,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Tamarindus,indica,,0.84,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Oxalis,picchensis,4,0.84,"Emshwiller et al., 2002 (Ref. 456)",2005a
Angiosperm,Crataegus,nigra,2,0.84,"Telent & Dickinson, 2005 (Ref. 527)",2011
Angiosperm,Penstemon,janishiae,2,0.84,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Hypochaeris,cretensis,2,0.84,"Cerbah M et al., 1999 (Ref. 666)",2012
Angiosperm,Minthostachys,mollis,,0.84,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Gnidia,polystachya,,0.84,"Hanson et al., 2005 (Ref. 612)",2011
Angiosperm,Salix,cinerea,4,0.85,"Thibault, 1998 (Ref. 385)",2005a
Angiosperm,Sedum,obtusifolium,5,0.85,"Hart et al., 1993 (Ref. 399)",2005a
Angiosperm,Lupinus,lepidus,,0.85,"Naganowska et al., 2006 (Ref. 524)",2011
Angiosperm,Banksia,marginata,,0.85,"Morgan & Westoby, 2005 (Ref. 526)",2011
Angiosperm,Crataegus,viridis,2,0.85,"Telent & Dickinson, 2005 (Ref. 527)",2011
Angiosperm,Adenocarpus,viscosus,4,0.85,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Schiedea,apokremnos,,0.85,"Kapralov et al., 2009 (Ref. 684)",2012
Bryophyte,Preissia,quadrata,,0.85,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Pinguicula,esseriana,,0.85,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Solanum,phureja,2,0.85,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Cucumis,zeyheri,2,0.85,"Ramachandran and Narayan, 1985 (Ref. 127)",1991
Angiosperm,Myrrhis,odorata,2,0.85,"Band, 1984 (Ref. 154)",1991
Angiosperm,Veronica,montana,2,0.85,"Band, 1984 (Ref. 154)",1991
Angiosperm,Salvia,splendens,4,0.85,"Olszewska and Osiecka, 1983 (Ref. 156)",1991
Angiosperm,Cytisus,purpureus,4,0.85,"Olszewska and Osiecka, 1984 (Ref. 157)",1991
Angiosperm,Cytisus,scoparius,4,0.85,"Mowforth, 1986 (Ref. 158)",1991
Angiosperm,Petunia,parviflora,2,0.85,"White and Rees, 1985 (Ref. 168)",1995
Angiosperm,Morus,alba,,0.85,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Putranjiva,roxburghii,,0.85,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Callistemon,lanceolatus,,0.85,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Lycopersicon,pimpinellifolium,2,0.85,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Haplopappus,ravenii,2,0.85,"Jackson et al., 1993 (Ref. 244)",1995
Angiosperm,Pandanus,veitchii,,0.85,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Dioscorea,sylvatica,,0.85,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Leontodon,taraxacoides,2,0.85,"Callimassia, 1993 (Ref. 281)",1997
Angiosperm,Ipomoea,trifida,2,0.85,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Ipomoea,ramosissima,2,0.85,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Ipomoea,umbraticola,2,0.85,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Ipomoea,cynanchifolia,2,0.85,"Ozias-Akins and Jarret, 1994 (Ref. 288)",1997
Angiosperm,Polygonum,aviculare,4,0.85,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Medicago,quasifalcata,4,0.85,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Caesalpinia,coriaria,2,0.85,"Ohri, 1996 (Ref. 301)",1997
Angiosperm,Dendrobium,discolor,2,0.85,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Dendrobium,formosum,2,0.85,"Jones et al., 1998 (Ref. 307)",2000
Angiosperm,Pennisetum,hohenackeri,2,0.85,"Martel et al., 1997 (Ref. 308)",2000
Angiosperm,Coffea,millotii,2,0.85,"Cros et al., 1994 (Ref. 309)",2000
Angiosperm,Acacia,nubica,4,0.85,"Bukhari, 1997 (Ref. 320)",2000
Angiosperm,Prosopis,chilensis,4,0.85,"Bukhari, 1997 (Ref. 320)",2000
Angiosperm,Setaria,holstii,2,0.85,"Le et al., 1998 (Ref. 330)",2000
Angiosperm,Berberis,montana,2,0.85,"Bottini et al., 1998 (Ref. 353)",2000
Angiosperm,Berberis,chillanensis,2,0.85,"Bottini et al., 1998 (Ref. 353)",2000
Angiosperm,Amaranthus,retroflexus,2,0.85,"Bennett et al., 1998 (Ref. 375)",2000
Angiosperm,Luffa,cylindrica,2,0.85,"Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)",1982
Angiosperm,Machaeranthera,brevilingulata,2,0.85,"Stucky and Jackson, 1975 (Ref. 94)",1982
Algae,Polysiphonia,boldii,,0.85,"Kapraun, 1993 (Ref. 27)",2005
Algae,Polysiphonia,violacea,,0.85,"Kapraun, 1993 (Ref. 27)",2005
Algae,Sphacelaria,sp.,,0.85,"Le Gall et al., 1993 (Ref. 29)",2005
Angiosperm,Quercus,rubra,,0.85,"Horjales et al., 2003 (Ref. 489)",2011
Angiosperm,Lupinus,polyphyllus,,0.85,"Naganowska et al., 2006 (Ref. 524)",2011
Angiosperm,Atriplex,semibaccata,,0.85,"Morgan & Westoby, 2005 (Ref. 526)",2011
Angiosperm,Vella,spinosa,,0.85,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Vieraea,laevigata,2,0.85,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Leontodon,tuberosus,2,0.85,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Fedia,cf. cornucopiae,4,0.85,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Malus,kirghisorum,2,0.85,"Korban et al., 2009 (Ref. 668)",2012
Angiosperm,Minthostachys,rubra,,0.85,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Genista,januensis,,0.86,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Penstemon,pinorum,2,0.86,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,virgatus,2,0.86,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Schiedea,trinervis (= Alsinidendron trinervis),,0.86,"Kapralov et al., 2009 (Ref. 684)",2012
Angiosperm,Buddleja,globosa,2,0.86,"Hanson et al., 2001 (Ref. 378)",2005a
Angiosperm,Tamus,communis,,0.86,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Salix,fragilis,4,0.86,"Thibault, 1998 (Ref. 385)",2005a
Angiosperm,Gossypium,thurberi,2,0.86,"Hendrix & Stewart, 2005 (Ref. 471)",2011
Angiosperm,Gossypium,gossypioides,2,0.86,"Hendrix & Stewart, 2005 (Ref. 471)",2011
Angiosperm,Rubus,alceifolius,4,0.86,"Amsellem et al., 2001 (Ref. 493)",2011
Angiosperm,Nauplius,sericeus,2,0.86,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Medicago,sativa,2,0.86,"Blondon et al., 1994 (Ref. 611)",2011
Angiosperm,Nauplius,intermedius,2,0.86,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Acacia,smallii,,0.86,"Sliwinska et al., 2009 (Ref. 624)",2012
Angiosperm,Penstemon,cyaneus,2,0.86,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,idahoensis,2,0.86,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Plantago,coronopus,2,0.86,"Sen and Sharma, 1990 (Ref. 388)",2005a
Angiosperm,Chorisia,speciosa,,0.86,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Minthostachys,verticillata,,0.86,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Amphoricarpos,neumayeri,2,0.87,"Garnatje et al., 2004 (Ref. 502)",2011
Angiosperm,Lupinus,guaraniticus,,0.87,"Naganowska et al., 2006 (Ref. 524)",2011
Angiosperm,Linaria,vulgaris,,0.87,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Stachys,recta,4,0.87,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Penstemon,subglaber,2,0.87,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,leiophyllus,2,0.87,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Cardamine,yezoensis,8,0.87,"Marhold et al., 2010 (Ref. 621)",2012
Angiosperm,Coffea,heterocalyx,2,0.87,"Noirot et al., 2003 (Ref. 560)",2011
Angiosperm,Minthostachys,acutifolia,,0.87,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Acacia,dealbata,2,0.87,"Blakesley et al., 2002 (Ref. 441)",2005a
Angiosperm,Khaya,senegalensis,,0.87,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Gossypium,trilobum,2,0.87,"Hendrix & Stewart, 2005 (Ref. 471)",2011
Angiosperm,Lupinus,latifolius,,0.87,"Naganowska et al., 2006 (Ref. 524)",2011
Angiosperm,Centaurea,solstitialis,2,0.87,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Encholirium,irwinii,,0.87,"Ebert & Till, 1997 (Ref. 575)",2011
Angiosperm,Fraxinus,velutina,,0.87,"Sliwinska et al., 2009 (Ref. 624)",2012
Angiosperm,Minthostachys,dimorpha,,0.87,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Wolffia,elongata,,0.87,"Wang et al., 2011 (Ref. 683)",2012
Angiosperm,Solanum,tucumanense,2,0.88,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Petasites,hybridus,2,0.88,"Grime and Mowforth, 1982 (Ref. 110)",1991
Angiosperm,Berberis,aggregata,,0.88,"Olszewska and Osiecka, 1984 (Ref. 157)",1991
Angiosperm,Medicago,lupulina,2,0.88,"Mowforth, 1986 (Ref. 158)",1991
Angiosperm,Cardamine,flexuosa,4,0.88,"Mowforth, 1986 (Ref. 158)",1991
Angiosperm,Oxalis,alstonii,2,0.88,"De Azkue and Martínez, 1988 (Ref. 172)",1995
Angiosperm,Amoora,rohituka,,0.88,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Hemigyrosa,canescens,,0.88,"Ohri and Kumar, 1986 (Ref. 185)",1995
Angiosperm,Cajanus,cajan,2,0.88,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Solanum,berthaultii,,0.88,"Arumuganathan and Earle, 1991 (Ref. 227)",1995
Angiosperm,Dioscorea,cayenensis-rotundata,6,0.88,"Hamon et al., 1992 (Ref. 245)",1995
Angiosperm,Spiraea,nipponica,,0.88,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Solanum,tuberosum,2,0.88,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Drosera,rotundifolia,2,0.88,"Rothfels and Heimburg, 1968 (Ref. 39)",1976
Angiosperm,Crepis,bulbosa,,0.88,"Brown and Jone, 1975 (Ref. 42)",1976
Algae,Dasya,ocellata,,0.88,"Kapraun, 2005 (Ref. 23)",2005
Algae,Padina,gymnospora,,0.88,"Kapraun, 2005 (Ref. 23)",2005
Algae,Bostrychia,radicans,,0.88,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Gossypium,armourianum,2,0.88,"Hendrix & Stewart, 2005 (Ref. 471)",2011
Angiosperm,Cistus,ladaniferus,,0.88,"Horjales et al., 2003 (Ref. 489)",2011
Angiosperm,Crataegus,marshallii,,0.88,"Telent & Dickinson, 2005 (Ref. 527)",2011
Angiosperm,Allagopappus,dichotomus,2,0.88,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Penstemon,navajoa,2,0.88,"Broderick et al., 2011 (Ref. 648)",2012
Angiosperm,Penstemon,angustifolius,2,0.88,"Broderick et al., 2011 (Ref. 648)",2012
Bryophyte,Mnium,hornum,,0.88,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Minthostachys,acris,,0.88,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Lupinus,rivularis,,0.88,"Naganowska et al., 2006 (Ref. 524)",2011
Angiosperm,Centaurea,ovina,2,0.88,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Minthostachys,andina,,0.88,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Centaurea,stoebe,2,0.88,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Pterostyrax,psilophylla,2,0.89,"Hanson et al., 2003 (Ref. 380)",2005a
Angiosperm,Taraxacum,linearisquameum,2,0.89,"Závesky et al., 2005 (Ref. 514)",2011
Angiosperm,Achnatherum,petriei,6,0.89,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Penstemon,pseudoputus,2,0.89,"Broderick et al., 2011 (Ref. 648)",2012
Bryophyte,Bryum,cf. densifolium,,0.89,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Byblis,liniflora,2,0.89,"Hanson et al., 2001 (Ref. 378)",2005a
Angiosperm,Amborella,trichopoda,,0.89,"Leitch and Hanson, 2002 (Ref. 381)",2005a
Angiosperm,Sesamum,mulayanum,2,0.89,"Hiremath et al., 2001 (Ref. 446)",2005a
Angiosperm,Digitaria,ternata,,0.89,"Adoukonou-Sagbadja et al., 2007 (Ref. 556)",2011
Angiosperm,Minthostachys,ovata,,0.89,"Schmidt-Lebuhn et al., 2008 (Ref. 639)",2012
Angiosperm,Crocosmia,x paniculata,,0.89,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Cryptocoryne,crispatula,,0.89,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Fraxinus,angustifolia,,0.89,"Horjales et al., 2003 (Ref. 489)",2011
Angiosperm,Centaurea,cuneifolia,2,0.89,"Bancheva & Greilhuber, 2006 (Ref. 529)",2011
Angiosperm,Begonia,fischeri,,0.89,"Dewitte et al., 2009 (Ref. 618)",2012
Angiosperm,Wolffia,columbiana,,0.89,"Wang et al., 2011 (Ref. 683)",2012
Angiosperm,Schouwia,purpurea,2,0.89,"Lysák et al., 2007 (Ref. 602)",2011
Angiosperm,Schiedea,sarmentosa,,0.89,"Kapralov et al., 2009 (Ref. 684)",2012
Angiosperm,Rosa,x hybrida,3,0.90,"Yokoya et al., 2000 (Ref. 346)",2000
Angiosperm,Crocosmia,pottsii,,0.9,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Adenocarpus,foliolosus,4,0.9,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Curcuma,montana,6,0.9,"Leong-Skornickova et al., 2007 (Ref. 562)",2011
Angiosperm,Fedia,cornucopiae,4,0.9,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Penstemon,comarrhenus,2,0.9,"Broderick et al., 2011 (Ref. 648)",2012
Bryophyte,Brachythecium,salebrosum,,0.9,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Flagellaria,guineensis,2,0.9,"Hanson et al., 2003 (Ref. 380)",2005a
Angiosperm,Betula,pubescens,4,0.9,"Anamthawat-Jónsson et al., 2010 (Ref. 667)",2012
Angiosperm,Solanum,aviculare,4,0.9,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Solanum,sparsipilum,2,0.9,"Anderson et al., 1985 (Ref. 124)",1991
Angiosperm,Cucumis,sativus,2,0.9,"Ramachandran and Narayan, 1985 (Ref. 127)",1991
Angiosperm,Cucumis,africanus,2,0.9,"Ramachandran and Narayan, 1985 (Ref. 127)",1991
Angiosperm,Magnolia,kobus,2,0.9,"Olszewska and Osiecka, 1984 (Ref. 157)",1991
Angiosperm,Anthospermum,usambarense,2,0.9,"Kiehn, 1986 (Ref. 175)",1995
