Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Algae,Gracilaria,tikvahiae,,0.2,"Kapraun, 1993 (Ref. 26)",2005
Algae,Gracilaria,mammillaris,,0.2,"Kapraun, 1993 (Ref. 26)",2005
Algae,Gracilaria,flabelliforme,,0.2,"Kapraun, 1993 (Ref. 26)",2005
Algae,Gracilariopsis,tenuifrons,,0.2,"Kapraun, 1993 (Ref. 26)",2005
Algae,Gracilariopsis,carolinensis,,0.2,"Kapraun, 1993 (Ref. 26)",2005
Algae,Gracilaria,caudata,,0.2,"Lopez-Bautista, 1995 (Ref. 30)",2005
Algae,Gracilaria,blodgettii,,0.2,"Lopez-Bautista, 1995 (Ref. 30)",2005
Algae,Gracilaria,divaricata,,0.2,"Lopez-Bautista, 1995 (Ref. 30)",2005
Algae,Gracilaria,cervicornis,,0.2,"Lopez-Bautista, 1995 (Ref. 30)",2005
Angiosperm,Kernera,saxatilis,2,0.2,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Neslia,paniculata,2,0.2,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Arabidopsis,arenosa,2,0.2,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Arabidopsis,neglecta,2,0.2,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Descurainia,bourgeauana,2,0.2,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Corchorus,pseudo-capsularis,2,0.2,"Sarkar et al., 2011 (Ref. 676)",2012
Bryophyte,Andreaea,rupestris,,0.21,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Sedum,obtusifolium,2,0.21,"Hart, 1991 (Ref. 398)",2005a
Angiosperm,Calepina,irregularis,2,0.21,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Hornungia,procumbens,2,0.21,"Lysák et al., 2009 (Ref. 599)",2011
Bryophyte,Lejeunea,carvifloia,,0.21,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Cardamine,impatiens,,0.21,"Johnston et al., 2005 (Ref. 509)",2011
Angiosperm,Corchorus,trilocularis,2,0.21,"Sarkar et al., 2011 (Ref. 676)",2012
Bryophyte,Nowellia,curvifolia,,0.22,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Utricularia,microcalyx,,0.22,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Descurainia,millefolia,2,0.22,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Capsella,rubella,2,0.22,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Descurainia,gilva,2,0.22,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Valerianella,locusta,2,0.22,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Utricularia,pubescens,,0.22,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Corchorus,tridens,2,0.22,"Sarkar et al., 2011 (Ref. 676)",2012
Angiosperm,Cardamine,hirsuta,,0.23,"Bennett and Smith, 1987 (Ref. 164)",1995
Angiosperm,Spiraea,crenata,2,0.23,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Physocarpus,bracteatus,2,0.23,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Carex,brownii,,0.23,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,kobomugi,,0.23,"Nishikawa et al., 1984 (Ref. 357)",2000
Algae,Gelidium,coulteri,,0.23,"Freshwater, 1993 (Ref. 7)",2005
Algae,Derbesia,marina,,0.23,"Kapraun, 2005 (Ref. 23)",2005
Algae,Ostrobium,queketii,,0.23,"Kapraun, 2005 (Ref. 23)",2005
Angiosperm,Descurainia,lemsii,2,0.23,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Arabis,auriculata,2,0.23,"Hoffmann et al., 2010 (Ref. 657)",2012
Angiosperm,Descurainia,gonzalesii,2,0.23,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Malcolmia,nana,,0.23,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Conringia,planisiliqua,2,0.23,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Valerianella,microcarpa,2,0.23,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Rubus,illecebrosus,2,0.24,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Valerianella,eriocarpa,2,0.24,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Utricularia,humboldtii,,0.24,"Greilhuber et al., 2006 (Ref. 535)",2011
Pteridophyte,Selaginella,kraussiana,3,0.24,"Obermayer et al., 2002 (Ref. 9)",2002a
Bryophyte,Braunia,secunda,,0.24,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Myrciaria,glazioviana,2,0.24,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Averrhoa,carambola,,0.24,"Ohri, 2002 (Ref. 454)",2005a
Angiosperm,Utricularia,sandersonii,,0.24,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Boechera,stricta,,0.24,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Boechera,hoelbellii,,0.24,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Turritis,glabra,2,0.24,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Noccaea,alpestris,2,0.24,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Arabidopsis,halleri,2,0.24,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Sisymbrium,officinale,2,0.24,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Sisymbrium,loeselii,2,0.24,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Draba,nemorosa,,0.24,"Johnston et al., 2005 (Ref. 509)",2011
Bryophyte,Lophocolea,heterophylla (cytotype a),,0.24,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Nelumbo,nucifera,2,0.24,"Hanson et al., 2001 (Ref. 379)",2005a
Angiosperm,Cardamine,amara,2,0.24,"Hanson et al., 2002 (Ref. 465)",2005a
Angiosperm,Gomidesia,schaueriana,2,0.24,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Eugenia,crenata,2,0.24,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Calyptranthes,lucida,2,0.24,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Eugenia,stigmatosa,2,0.24,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Rubus,crataegifolius,2,0.25,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Rhamnus,alpinus,2,0.25,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Valerianella,dentata,2,0.25,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Fragaria,vesca,2,0.25,"Temsch et al., 2010 (Ref. 627)",2012
Angiosperm,Gomidesia,affinis,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Bryophyte,Hedwigia,stellata,,0.25,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Campomanesia,pubescens,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Boenninghausenia,albiflora,,0.25,"Guerra M dos S., 1984 (Ref. 140)",1991
Angiosperm,Epilobium,obscurum,2,0.25,"Band, 1984 (Ref. 154)",1991
Angiosperm,Myriophyllum,spicatum,2,0.25,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Oropetium,thomaeum,2,0.25,"Bennett and Bennett, 1993 (Ref. 269-J)",1995
Angiosperm,Carex,capillacea,,0.25,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Cucumella,cinerea,,0.25,"Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)",1982
Angiosperm,Arabidopsis,korshynskyi,,0.25,"Nagl et al., 1983 (Ref. 457)",2005a
Algae,Chaetomorpha,antennina,,0.25,"Hinson and Kapraun, 1991 (Ref. 9)",2005
Algae,Rhodymenia,pseudopalmata,,0.25,"Kapraun and Dunwoody, 2002 (Ref. 11)",2005
Algae,Petalonia,fascia,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Ceramium,strictum,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Acinetospora,crinita,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Arthrocladia,villosa,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Monostroma,grevillei,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Ectocarpus,siliculosus,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Scytosiphon,lomentaria,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Colpomenia,phaeodactyla,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Zygnema,circumcarcinatum,,0.25,"Kapraun, 2005 (Ref. 23)",2005
Algae,Hydropuntia,cornea,,0.25,"Kapraun, 1993 (Ref. 26)",2005
Algae,Pterocladiella,capillacea,,0.25,"Kapruan et al., 1993 (Ref. 14)",2005
Angiosperm,Draba,subcapitata,2,0.25,"Grundt et al., 2005 (Ref. 505)",2011
Angiosperm,Arabidopsis,lyrata,2,0.25,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Begonia,venosa,,0.25,"Dewitte et al., 2009 (Ref. 618)",2012
Angiosperm,Begonia,ulmifolia,,0.25,"Dewitte et al., 2009 (Ref. 618)",2012
Angiosperm,Begonia,dietrichiana,,0.25,"Dewitte et al., 2009 (Ref. 618)",2012
Angiosperm,Eugenia,uniflora,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Eugenia,involucrata,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Corchorus,capsularis,2,0.25,"Sarkar et al., 2011 (Ref. 676)",2012
Angiosperm,Acca,sellowiana,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Accara,elegans,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Utricularia,subulata,,0.25,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Eugenia,hyemalis,2,0.25,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Rubus,leucodermis,2,0.26,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Valerianella,pontica,2,0.26,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Blepharocalyx,salicifolius,2,0.26,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Sinningia,harleyi,2,0.26,"Zaitlin and Pierce, 2010 (Ref. 647)",2012
Angiosperm,Berberidopsis,corallina,6,0.26,"Hanson et al., 2001 (Ref. 379)",2005a
Angiosperm,Utricularia,livida,,0.26,"Greilhuber et al., 2006 (Ref. 535)",2011
Angiosperm,Campomanesia,schlechtendaliana,2,0.26,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Algae,Pilayella,littoralis,,0.26,"Le Gall et al., 1993 (Ref. 29)",2005
Angiosperm,Physaria,gracilis,,0.26,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Cheiranthus,cheiri,2,0.26,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Malcolmia,flexuosa,2,0.26,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Rubus,simplex,2,0.26,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Begonia,glaba,,0.26,"Dewitte et al., 2009 (Ref. 618)",2012
Angiosperm,Sisymbrium,altissimum,2,0.26,"Kubesová et al., 2010 (Ref. 630)",2012
Angiosperm,Valerianella,multidentata,2,0.26,"Hidalgo et al., 2010 (Ref. 638)",2012
Angiosperm,Sinningia,eumorpha,2,0.26,"Zaitlin and Pierce, 2010 (Ref. 647)",2012
Angiosperm,Pimenta,pseudocariophyllus,2,0.26,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Bryophyte,Aulacomnium,androgynum,,0.26,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Thlaspi,praecox,2,0.26,"Temsch et al., 2010 (Ref. 627)",2012
Angiosperm,Campomanesia,phaea,2,0.26,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Bryophyte,Holomitrium,arboreum,,0.27,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Rubus,parvifolius,2,0.27,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Valerianella,coronata,2,0.27,"Hidalgo et al., 2010 (Ref. 638)",2012
Bryophyte,Hypnum,amabile,,0.27,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Euclidium,syriacum,2,0.27,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Rubus,innominatus,2,0.27,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Rubus,parviflorus,2,0.27,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Rubus,spectabilis,2,0.27,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Rosa,blanda,3,0.28,"Bennett et al., 1976 (Ref. 108)",1991
Angiosperm,Schmardaea,microphylla,2,0.28,"Styles and Bennett, 1992 (Ref. 215)",1995
Angiosperm,Prunus,persica,2,0.28,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Stephanandra,incisa,,0.28,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Neillia,simensis,2,0.28,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Carex,pumila,,0.28,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,oahuensis,,0.28,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,ischnostachya,,0.28,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Luzula,pilosa,,0.28,"Barlow and Nevin, 1976 (Ref. 36)",1976
Algae,Gelidium,americanum,,0.28,"Freshwater, 1993 (Ref. 7)",2005
Algae,Gelidium,floridanum,,0.28,"Freshwater, 1993 (Ref. 7)",2005
